DEPARTAMENTO,RUTA,CÓDIGO DE TRAMO,TRAMO,PR Inicial,PR Final,SECTOR,RED PAVIMENTADA MUY BUENO (KMS),RED PAVIMENTADA BUENO (KMS),RED PAVIMENTADA REGULAR (KMS),RED PAVIMENTADA MALO (KMS),RED PAVIMENTADA MUY MALO (KMS),RED NO PAVIMENTADA MUY BUENO (KMS),RED NO PAVIMENTADA BUENO (KMS),RED NO PAVIMENTADA REGULAR (KMS),RED NO PAVIMENTADA MALO (KMS),RED NO PAVIMENTADA MUY MALO (KMS),TOTAL PAVIMENTO,TOTAL NO PAVIMENTADO,RED EN INTERVENCIÓN,LONGITUD TOTAL CALIFICADA,LONGITUD TOTAL INVENTARIO,CALZADA UNICA,CALZADA IZQUIERDA,CALZADA DERECHA,"DISTANCIA
EFECTIVA"
HUILA,45,4503,Mocoa - Pitalito,131+0680,134+0610,Paso Nacional por Pitalito (*),0,0,0,4.79,0,0,0,0,0,0,4.79,0,,4.79,2.7,0.61,2.09,2.09,2.7
HUILA,45,4504,Pitalito - Garzón,0+0000,2+0180,Paso Nacional por Pitalito,0,0,0,2.2,0,0,0,0,0,0,2.2,0,,2.2,2.2,2.2,0,0,2.197
HUILA,45,4504,Pitalito - Garzón,70+0165,71+0697,Paso Nacional por Garzón (*),0,0,2.61,0,0,0,0,0,0,0,2.61,0,,2.61,1.54,0.47,1.07,1.07,1.544
HUILA,45,4505,Garzón - Neiva,0+0000,1+1030,Paso Nacional por Garzón (*),0,0,2.13,0,0,0,0,0,0,0,2.13,0,,2.13,1.99,1.85,0.14,0.14,1.989
HUILA,45,4506,Neiva - Castilla,83+0100,86+0400,Paso Nacional por Natagaima,0,1,0,2.3,0,0,0,0,0,0,3.3,0,,3.3,3.3,3.3,0,0,3.3
HUILA,45,45HL01,Hobo -Yaguará,1+0350,23+0150,Hobo - Yaguará (Inspección de Letrán),0,0.15,1,20.65,0,0,0,0,0,0,21.8,0,,21.8,21.8,21.8,0,0,21.8
MAGDALENA,27,2701,Plato -  Salamina,0+0000,102+0000,Plato - Salamina,1,0.1,0,5.48,9.93,0,0,17.02,32.23,36.82,16.52,86.06,,102.58,102.91,102.58,0,0,102.58
MAGDALENA,43,4313,El Banco - Arjona - Pueblo Nuevo,0+0000,21+0000,El Banco - San José,0,0,17.1,1.95,1.89,0,0,0,0,0,20.94,0,,20.94,20.57,20.94,0,0,20.94
MAGDALENA,45,4518,Río Ariguaní - Ye de Ciénaga,35+0725,46+0764,Paso Nacional por Aracataca,0,7.75,0.97,0,2.32,0,0,0,0,0,11.04,0,,11.04,11.08,11.03,0,0,11.03
MAGDALENA,45,4518,Río Ariguaní - Ye de Ciénaga,98+0000,100+0289,Ye de Ciénaga (Lado Manantial) - Intersección Ruta 90,0,2.29,0,0,0,0,0,0,0,0,2.29,0,,2.29,2.29,2.29,0,0,2.29
MAGDALENA,78,7805,Guamal - El Banco,0+0000,36+0320,Guamal - El Banco,0,31.63,0,0.76,0.33,0,0,1,2.43,0,32.72,3.43,,36.15,36.15,36.15,0,0,36.15
MAGDALENA,80,80MG01,Santa Ana - La Gloria,0+0000,67+0650,Santa Ana - La Gloria,38.58,28.95,0,0,0,0,0,0,0,0,67.53,0,,67.53,67.53,67.53,0,0,67.53
MAGDALENA,90,9007A,Cruce Tramo 9007 - Puerto de Santa Marta,0+0000,7+0420,Mamatoco - Terminal Marítimo,0,5.17,2.25,0,0,0,0,0,0,0,7.42,0,,7.42,7.43,7.43,0,0,7.43
META,40,4015,Cruce Ruta 40 - La Arepa - Juriepe - Puerto Carreño,0+0000,96+0140,Juriepe - Puerto Carreño,0,27.7,5.01,0,0,1.95,38.63,17.44,2.95,0,32.72,60.97,,93.69,96.14,93.69,0,0,93.69
META,40,4010,Puente Arimena - El Porvenir,0+0000,40+0820,Puente Arimena - La Arepa,0.8,0,0,0,0,0,0.97,11.34,27.95,0,0.8,40.26,,41.06,39.79,41.06,0,0,41.06
META,40,40MT01,Ramal Cruce Ruta 40 (Cruce Ruta a La Arepa) - El Porvenir,0+0000,7+0968,Ramal Cruce Ruta 40 (Cruce Ruta a La Arepa) - El Porvenir,0,0,0,0,0,0,0,0,7.38,0,0,7.38,,7.38,7.07,7.38,0,0,7.38
META,40,40MTA,Pipiral - Villavicencio (Vía Antigua),80+0000,94+0583,Pipiral - Villavicencio (Vía Antigua),1,5.59,5.87,1.97,0,0,0,0,0,0,14.43,0,,14.43,14.44,14.45,0,0,14.45
META,65,6507,San José del Guaviare - Cruce Puerto Rico,0+0000,102+0600,San José del Guaviare - Cruce Puerto Rico,39.41,16.93,42.95,2.03,0,0,0,0,0,0,101.32,0,,101.32,101.87,101.32,0,0,101.32
META,65,6508,Cruce Puerto Rico - Ye de Granada,0+0000,103+0938,Cruce Puerto Rico - Granada (*),0,55.46,48.37,3.96,0,0,0,0,0,0,107.79,0,,107.79,102.5,100.09,3.85,3.85,103.94
META,65,6509,Ye de Granada - Villavicencio,57+0352,58+0564,Paso Antiguo por el Río Guayuriba,0,0.65,0,0.56,0,0,0,0,0,0,1.21,0,,1.21,1.21,1.21,0,0,1.212
